gid,landarea_lbl,landarea_val,경도,위도
占썬끉沅?3aa52aa,17884.87,17884.8699999999000000000000000000000,126.855975,37.566735
占썬끉沅?3aa52ab,,,126.855956,37.568988
占썬끉沅?3aa52ba,,,126.855937,37.571241
占썬끉沅?3ab47bb,852.75,852.7500000000000000000000000000000,126.859134,37.528445
占썬끉沅?3ab48aa,272.64,272.6399999999990000000000000000000,126.859115,37.530698
占썬끉沅?3ab48ab,270.31,270.3100000000000000000000000000000,126.859096,37.532951
占썬끉沅?3ab48ba,264.20,264.1999999999990000000000000000000,126.859076,37.535205
占썬끉沅?3ab48bb,275.72,275.7200000000000000000000000000000,126.859057,37.537458
占썬끉沅?3ab49aa,555.47,555.4700000000000000000000000000000,126.859038,37.539711
占썬끉沅?3ab49ab,86045.80,86045.8000000000000000000000000000000,126.859018,37.541965
占썬끉沅?3ab49ba,41354.14,41354.1399999998000000000000000000000,126.858999,37.544218
占썬끉沅?3ab49bb,778.16,778.1599999999990000000000000000000,126.858980,37.546471
占썬끉沅?3ab50aa,1564.96,1564.9600000000000000000000000000000,126.858960,37.548724
占썬끉沅?3ab50ab,238.65,238.6500000000000000000000000000000,126.858941,37.550978
占썬끉沅?3ab50ba,6979.83,6979.8299999999900000000000000000000,126.858922,37.553231
占썬끉沅?3ab50bb,868.82,868.8200000000000000000000000000000,126.858903,37.555484
占썬끉沅?3ab51aa,3572.92,3572.9200000000000000000000000000000,126.858883,37.557737
占썬끉沅?3ab51ab,5978.89,5978.8900000000000000000000000000000,126.858864,37.559991
占썬끉沅?3ab51ba,27837.80,27837.7999999999000000000000000000000,126.858845,37.562244
占썬끉沅?3ab51bb,50654.83,50654.8300000000000000000000000000000,126.858825,37.564497
占썬끉沅?3ab52aa,,,126.858806,37.566750
占썬끉沅?3ab52ab,,,126.858787,37.569004
占썬끉沅?3ba47bb,,,126.861963,37.528460
占썬끉沅?3ba48aa,223.79,223.7899999999990000000000000000000,126.861944,37.530714
占썬끉沅?3ba48ab,283.93,283.9300000000000000000000000000000,126.861925,37.532967
占썬끉沅?3ba48ba,320.70,320.6999999999990000000000000000000,126.861906,37.535220
占썬끉沅?3ba48bb,257.15,257.1499999999990000000000000000000,126.861887,37.537473
占썬끉沅?3ba49aa,5812.97,5812.9700000000000000000000000000000,126.861867,37.539727
占썬끉沅?3ba49ab,30414.41,30414.4099999999000000000000000000000,126.861848,37.541980
占썬끉沅?3ba49ba,61538.06,61538.0600000000000000000000000000000,126.861829,37.544233
占썬끉沅?3ba49bb,847.89,847.8899999999990000000000000000000,126.861810,37.546486
占썬끉沅?3ba50aa,1269.76,1269.7599999999900000000000000000000,126.861791,37.548740
占썬끉沅?3ba50ab,537.39,537.3899999999990000000000000000000,126.861771,37.550993
占썬끉沅?3ba50ba,1550.04,1550.0399999999900000000000000000000,126.861752,37.553246
占썬끉沅?3ba50bb,2048.76,2048.7600000000000000000000000000000,126.861733,37.555499
占썬끉沅?3ba51aa,5030.69,5030.6899999999900000000000000000000,126.861714,37.557753
占썬끉沅?3ba51ab,14355.12,14355.1200000000000000000000000000000,126.861694,37.560006
