gid,population_lbl,population_val,경도,위도
占썬끉沅?4ab49bb,,,126.870300,37.546532
占썬끉沅?4ab50aa,2074.00,2074.0000000000000000000000000000000,126.870281,37.548785
占썬끉沅?4ab50ab,2816.00,2816.0000000000000000000000000000000,126.870262,37.551038
占썬끉沅?4ab50ba,2737.00,2737.0000000000000000000000000000000,126.870243,37.553292
占썬끉沅?4ab50bb,2522.00,2522.0000000000000000000000000000000,126.870224,37.555545
占썬끉沅?4ab51aa,231.00,231.0000000000000000000000000000000,126.870205,37.557798
占썬끉沅?4ab51ab,,,126.870186,37.560052
占썬끉沅?4ab51ba,,,126.870167,37.562305
占썬끉沅?4ba49bb,6.00,6.0000000000000000000000000000000,126.873130,37.546547
占썬끉沅?4ba50aa,3672.00,3672.0000000000000000000000000000000,126.873111,37.548800
占썬끉沅?4ba50ab,2449.00,2449.0000000000000000000000000000000,126.873092,37.551054
占썬끉沅?4ba50ba,3705.00,3705.0000000000000000000000000000000,126.873073,37.553307
占썬끉沅?4ba50bb,1824.00,1824.0000000000000000000000000000000,126.873054,37.555560
占썬끉沅?4ba51aa,,,126.873035,37.557813
占썬끉沅?4ba51ab,,,126.873016,37.560067
占썬끉沅?4bb49bb,628.00,628.0000000000000000000000000000000,126.875960,37.546562
占썬끉沅?4bb50aa,1750.00,1750.0000000000000000000000000000000,126.875941,37.548815
占썬끉沅?4bb50ab,3250.00,3250.0000000000000000000000000000000,126.875922,37.551069
占썬끉沅?4bb50ba,1792.00,1792.0000000000000000000000000000000,126.875903,37.553322
占썬끉沅?4bb50bb,,,126.875884,37.555575
占썬끉沅?4bb51aa,,,126.875866,37.557828
占썬끉沅?4bb51ab,,,126.875847,37.560082
占썬끉沅?5aa49bb,99.00,99.0000000000000000000000000000000,126.878789,37.546577
占썬끉沅?5aa50aa,989.00,989.0000000000000000000000000000000,126.878771,37.548830
占썬끉沅?5aa50ab,247.00,247.0000000000000000000000000000000,126.878752,37.551083
占썬끉沅?5aa50ba,,,126.878733,37.553337
占썬끉沅?5aa50bb,,,126.878715,37.555590
占썬끉沅?5aa51aa,,,126.878696,37.557843
占썬끉沅?5ab50aa,,,126.881601,37.548845
占썬끉沅?5ab50bb,,,126.881545,37.555605
