gid,constructurearea_lbl,constructurearea_val,경도,위도
占썬끉沅?8ba52aa,121.75,121.7500000000000000000000000000000,126.805023,37.566446
占썬끉沅?8ba52ab,678.15,678.1499999999990000000000000000000,126.805002,37.568699
占썬끉沅?8ba52ba,407.17,407.1700000000000000000000000000000,126.804981,37.570952
占썬끉沅?8ba52bb,331.69,331.6899999999990000000000000000000,126.804960,37.573206
占썬끉沅?8ba53aa,,,126.804939,37.575459
占썬끉沅?8ba53ab,,,126.804918,37.577712
占썬끉沅?8ba53ba,,,126.804897,37.579965
占썬끉沅?8ba53bb,678.33,678.3300000000000000000000000000000,126.804876,37.582219
占썬끉沅?8ba54aa,,,126.804855,37.584472
占썬끉沅?8ba54ab,,,126.804834,37.586725
占썬끉沅?8ba54ba,,,126.804813,37.588978
占썬끉沅?8ba54bb,,,126.804792,37.591231
占썬끉沅?8ba55aa,,,126.804771,37.593485
占썬끉沅?8ba55ab,,,126.804750,37.595738
占썬끉沅?8ba55ba,,,126.804730,37.597991
占썬끉沅?8ba55bb,,,126.804709,37.600244
占썬끉沅?8ba56aa,,,126.804688,37.602497
占썬끉沅?8ba56ab,,,126.804667,37.604751
占썬끉沅?8bb49ab,,,126.808083,37.541677
占썬끉沅?8bb49ba,,,126.808062,37.543930
占썬끉沅?8bb49bb,,,126.808041,37.546184
占썬끉沅?8bb50aa,,,126.808020,37.548437
占썬끉沅?8bb50ab,,,126.807999,37.550690
占썬끉沅?8bb50ba,,,126.807979,37.552943
占썬끉沅?8bb50bb,,,126.807958,37.555196
占썬끉沅?8bb51aa,420.35,420.3500000000000000000000000000000,126.807937,37.557450
占썬끉沅?8bb51ab,122.15,122.1500000000000000000000000000000,126.807916,37.559703
占썬끉沅?8bb51ba,206.03,206.0300000000000000000000000000000,126.807895,37.561956
占썬끉沅?8bb51bb,114.58,114.5799999999990000000000000000000,126.807874,37.564209
占썬끉沅?8bb52aa,98.72,98.7199999999999000000000000000000,126.807853,37.566463
占썬끉沅?8bb52ab,236.16,236.1599999999990000000000000000000,126.807833,37.568716
占썬끉沅?8bb52ba,326.92,326.9200000000000000000000000000000,126.807812,37.570969
