values,address,area(m2),latitude,longitude
공동주택,서울특별시 강서구 양천로49길 56-9,118.75,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 56-3,125.81,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 ,216.0,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로47가길 39-4,102.96,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 39-11,98.0,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 39-28,87.33,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 39-7,140.95,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 39-5,136.94,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 ,159.11,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로49길 75,216.0,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 65,180.9,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로47가길 39-22,93.69,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 39-20,250.69,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로49길 83,84.55,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로47나길 21-16,173.07,37.5719509,126.8402751
공동주택,서울특별시 강서구 양천로47가길 ,196.62,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 44,122.96,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로49길 49-4,175.43,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 ,219.01,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 49-14,105.1,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로47가길 36,155.08,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로49길 49-6,219.74,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로47가길 40,147.54,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 28,182.98,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로47가길 29,180.45,37.5709304,126.8393685
공동주택,서울특별시 강서구 양천로49길 39-59,204.26,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로 ,529.1,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,196.53,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,484.84,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,680.11,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,192.66,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,484.84,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,385.31,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,484.84,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,385.31,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,484.84,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,385.31,37.5733661,126.8166863
공동주택,서울특별시 강서구 양천로 ,385.31,37.5733661,126.8166863
공동주택,서울특별시 강서구 화곡로72길 ,15.0,37.5610046,126.8576311
공동주택,서울특별시 강서구 화곡로72길 ,446.28,37.5610046,126.8576311
공동주택,서울특별시 강서구 양천로 ,885.13,37.5733661,126.8166863
공동주택,서울특별시 강서구 강서로76길 29,685.09,37.5691768,126.8428947
공동주택,서울특별시 강서구 개화3길 33,72.59,37.5836848,126.7983535
공동주택,서울특별시 강서구 개화3길 33,75.87,37.5836848,126.7983535
공동주택,서울특별시 강서구 개화3길 33,86.08,37.5836848,126.7983535
공동주택,서울특별시 강서구 개화동로7길 17-7,131.9,37.5800146,126.7995401
공동주택,서울특별시 강서구 개화동로5길 9-11,155.08,37.58155495,126.7991048223014
공동주택,서울특별시 강서구 개화동로5길 9-11,155.08,37.58155495,126.7991048223014
공동주택,서울특별시 강서구 개화동로5길 3-18,153.88,37.5816362,126.79887874339624
공동주택,서울특별시 강서구 공항대로15길 ,195.84,37.5621157,126.8149477
공동주택,서울특별시 강서구 공항대로15길 ,134.18,37.5621157,126.8149477
공동주택,서울특별시 강서구 공항대로15길 ,122.5,37.5621157,126.8149477
공동주택,서울특별시 강서구 공항대로15길 42,142.87,37.5621157,126.8149477
공동주택,서울특별시 강서구 공항대로15길 40,70.19,37.5621157,126.8149477
공동주택,서울특별시 강서구 공항대로15길 ,66.54,37.5621157,126.8149477
공동주택,서울특별시 강서구 공항대로15길 24,128.44,37.5621157,126.8149477
공동주택,서울특별시 강서구 방화대로6나길 10-20,99.91,37.55521725,126.81802500053684
공동주택,서울특별시 강서구 방화대로6길 ,104.02,37.5546312,126.8180658
공동주택,서울특별시 강서구 방화대로6가길 ,98.72,37.5540959,126.8170151
공동주택,서울특별시 강서구 방화대로6가길 ,182.2,37.5540959,126.8170151
공동주택,서울특별시 강서구 방화대로 ,474.68,37.5742318,126.8166065
공동주택,서울특별시 강서구 방화대로 ,524.88,37.5742318,126.8166065
공동주택,서울특별시 강서구 남부순환로 ,0.0,37.5509611,126.8179873
공동주택,서울특별시 강서구 남부순환로 ,796.96,37.5509611,126.8179873
공동주택,서울특별시 강서구 남부순환로 ,10.89,37.5509611,126.8179873
공동주택,서울특별시 강서구 남부순환로 ,860.04,37.5509611,126.8179873
공동주택,서울특별시 강서구 남부순환로 ,82.14,37.5509611,126.8179873
공동주택,서울특별시 강서구 남부순환로 ,0.0,37.5509611,126.8179873
공동주택,서울특별시 강서구 남부순환로 ,428.16,37.5509611,126.8179873
