,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
246832,17150802,카페,엘로이,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010500,마곡동,1150010500107980002,1,대지,798,2.0,서울특별시 강서구 마곡동 798-2,115002005007,서울특별시 강서구 공항대로,164,,1150010500107980002000001,류마타워,서울특별시 강서구 공항대로 164,157210,7807.0,,1,,126.825495228538,37.5593120294272
247080,17105832,몽슈크레,마곡점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107720005,1,대지,772,5.0,서울특별시 강서구 마곡동 772-5,115003155054,서울특별시 강서구 마곡중앙6로,45,,1150010500107720005000001,리더스퀘어마곡,서울특별시 강서구 마곡중앙6로 45,157805,7802.0,,,,126.832707276538,37.5606179703113
247128,17088939,메가엠지씨커피,양천향교역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107760004,1,대지,776,4.0,서울특별시 강서구 마곡동 776-4,115003115001,서울특별시 강서구 강서로,471,,1150010500107760004000001,엠코지니어스타,서울특별시 강서구 강서로 471,157805,7791.0,,,,126.840568345595,37.5675342607158
247133,17083806,품다,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1150010300108250001,1,대지,825,1.0,서울특별시 강서구 화곡동 825-1,115004145291,서울특별시 강서구 등촌로13다길,32,19.0,1150010300108250001019827,,서울특별시 강서구 등촌로13다길 32-19,157900,7739.0,,1,,126.858670996748,37.5354536336697
247351,17161398,브루클린커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010500,마곡동,1150010500107680002,1,대지,768,2.0,서울특별시 강서구 마곡동 768-2,115003155047,서울특별시 강서구 마곡서로,101,,1150010500107680002000001,동익드미라벨복합빌딩,서울특별시 강서구 마곡서로 101,157855,7798.0,,,,126.823586331828,37.5626628762908
247408,17136867,까페루아,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059100,화곡6동,1150010300,화곡동,1150010300111140001,1,대지,1114,1.0,서울특별시 강서구 화곡동 1114-1,115004145190,서울특별시 강서구 공항대로46길,13,7.0,1150010300111140001014820,대명스카이,서울특별시 강서구 공항대로46길 13-7,157928,7654.0,1,1,,126.853574341054,37.5542539162399
247428,14172293,어바웃커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059100,화곡6동,1150010300,화곡동,1150010300109750035,1,대지,975,35.0,서울특별시 강서구 화곡동 975-35,115004145527,서울특별시 강서구 화곡로44가길,34,,1150010300109750035014718,,서울특별시 강서구 화곡로44가길 34,157915,7663.0,,1,,126.848343707629,37.5492293050288
247449,17105698,메가엠지씨커피마곡,중앙점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107960003,1,대지,796,3.0,서울특별시 강서구 마곡동 796-3,115003155046,서울특별시 강서구 마곡동로,62,,1150010500107960003000001,마곡사이언스타워,서울특별시 강서구 마곡동로 62,157805,7803.0,,,,126.833874311591,37.5605394004382
247473,17094934,쥬씨차얌마곡,나루점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107570000,1,대지,757,,서울특별시 강서구 마곡동 757,115003155045,서울특별시 강서구 마곡중앙로,161,8.0,1150010500107570000000001,두산더랜드파크,서울특별시 강서구 마곡중앙로 161-8,157805,7788.0,,1,,126.827273447566,37.5686193262427
247489,17086299,아임일리터,마곡점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1150010500107710004,1,대지,771,4.0,서울특별시 강서구 마곡동 771-4,115003155054,서울특별시 강서구 마곡중앙6로,21,,1150010500107710004000001,이너매스마곡Ⅰ,서울특별시 강서구 마곡중앙6로 21,157805,7801.0,,1,,126.829602811066,37.560821502214
