기준_년월_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2021,1,A,골목상권,1000178,답십리로72길,54,20,34,0,7,13,15,16,3,0,3,6,5,4,2,0,4,7,10,12,1
2021,1,A,골목상권,1000179,망우로18가길,114,75,39,0,9,19,30,43,13,0,7,11,17,30,10,0,2,8,13,13,3
2021,1,A,골목상권,1000180,망우로18길,52,17,35,1,4,9,20,14,4,0,2,3,3,7,2,1,2,6,17,7,2
2021,1,A,골목상권,1000181,망우로21길,96,67,29,0,13,9,18,27,29,0,7,8,10,16,26,0,6,1,8,11,3
2021,1,A,골목상권,1000182,무학로16길,574,441,133,8,80,156,175,110,45,2,51,134,146,75,33,6,29,22,29,35,12
2021,1,A,골목상권,1000183,무학로45길,227,141,86,0,23,39,57,55,53,0,7,27,31,37,39,0,16,12,26,18,14
2021,1,A,골목상권,1000184,사가정로13길,180,65,115,0,12,36,36,54,42,0,1,13,10,15,26,0,11,23,26,39,16
2021,1,A,골목상권,1000185,사가정로23가길,84,46,38,0,6,19,34,19,6,0,4,10,19,10,3,0,2,9,15,9,3
2021,1,A,골목상권,1000186,사가정로2길,268,177,91,1,16,26,41,32,152,0,8,22,24,20,103,1,8,4,17,12,49
2021,1,A,골목상권,1000187,서울시립대로16길,42,14,28,0,4,12,6,12,8,0,2,6,2,3,1,0,2,6,4,9,7
2021,1,A,골목상권,1000188,서울시립대로29길,368,263,105,1,9,26,29,45,258,1,4,14,12,25,207,0,5,12,17,20,51
2021,1,A,골목상권,1000189,서울시립대로4길,404,264,140,3,83,95,79,87,57,3,57,62,45,57,40,0,26,33,34,30,17
2021,1,A,골목상권,1000190,약령시로17길,109,77,32,0,14,31,31,25,8,0,9,21,21,19,7,0,5,10,10,6,1
2021,1,A,골목상권,1000191,왕산로32길,129,64,65,0,36,41,16,21,15,0,11,18,10,14,11,0,25,23,6,7,4
2021,1,A,골목상권,1000192,왕산로33길,72,30,42,0,1,0,19,39,13,0,0,0,8,12,10,0,1,0,11,27,3
2021,1,A,골목상권,1000193,왕산로43길,560,199,361,1,119,130,150,104,56,1,18,35,58,46,41,0,101,95,92,58,15
2021,1,A,골목상권,1000194,이문로42길,48,29,19,0,1,7,14,19,7,0,1,4,9,11,4,0,0,3,5,8,3
2021,1,A,골목상권,1000195,장한로14길,179,98,81,0,26,51,43,33,26,0,11,24,24,18,21,0,15,27,19,15,5
2021,1,A,골목상권,1000196,장한로25길,408,210,198,5,73,92,89,104,45,5,45,59,41,38,22,0,28,33,48,66,23
2021,1,A,골목상권,1000197,장한로26가길,122,87,35,0,9,21,43,35,14,0,5,17,29,26,10,0,4,4,14,9,4
2021,1,A,골목상권,1000198,장한로26길,2436,1696,740,12,476,578,585,488,297,9,328,403,363,343,250,3,148,175,222,145,47
2021,1,A,골목상권,1000199,장한로27가길,148,81,67,0,29,32,22,32,33,0,18,25,13,10,15,0,11,7,9,22,18
